Name,Closeness,Total Infections,Total Deaths,Max. New Cases in a day,Average Aggregate Consumption,Min. Aggregate Consumption,Average Unemployment,Max. Unemployment,Max. hospitalisations and ICU in a day,Social Stress Score
decaying_cyclic120,0.7186016825996492,0.0491,0.0322,0.0116,0.0082,0.0103,0.0131,0.0159,0.0317,0.0399
china_adaptive_120,0.7153125804509333,0.0125,0.0081,0.0021,0.0073,0.0101,0.0276,0.0178,0.0067,0.0999
phased_exit120,0.6978297113504115,0.0466,0.0306,0.0082,0.0081,0.0103,0.0156,0.0157,0.0271,0.0699
basic_until_485,0.6960831560247485,0.02,0.0143,0.0047,0.0074,0.0103,0.0263,0.0163,0.0163,0.0999
cyclic120,0.679596501284375,0.0433,0.031,0.0154,0.0079,0.0103,0.0178,0.0159,0.0436,0.0499
cyclic120_7_7,0.5301610266761357,0.0498,0.0393,0.0254,0.0081,0.0103,0.0151,0.0159,0.0687,0.0599
sweden_afterlockdown_120,0.5197477725589389,0.0535,0.0291,0.0273,0.0084,0.0104,0.0097,0.0156,0.0667,0.0799
sweden_no_lockdown,0.3967984989812754,0.0679,0.0404,0.0378,0.0088,0.0123,0.003,0.0024,0.0875,0.0799
basic_until_120,0.298106313646969,0.0585,0.0536,0.0363,0.0084,0.0104,0.0087,0.0155,0.1062,0.0799
no_policy,0.15648413034249076,0.0757,0.0841,0.0429,0.0089,0.0125,0.0013,0.001,0.1386,0.0899
